id,schoolId,name,slug,degreeType,format,tuitionTotal,tuitionPerCredit,totalCredits,durationMonths,gmatRequired,greAccepted,accreditation,specializations,startDates,applicationDeadline,acceptanceRate,classSize,avgSalaryPost,usNewsRank,fortuneRank,asyncPercentage,description,pros,cons,ourRating,affiliateUrl,leadPartner,isFeatured,isPublished,createdAt,updatedAt
30026,30018,Online MBA,adelphi-university-https-find-mba-com-schools-usa-new-york-adelphi-adelphi-university-us-flag-https-find-mba-com-circle-flags-flags-1x1-us-svg-https-find-mba-com-schools-usa-new-york-aacsb-online-mba,MBA,hybrid,25000.00,,45,24,0,1,"""[\""AACSB\""]""","""[]""","""[\""Rolling admissions\""]""",Rolling,,,,,,95,"Online MBA at |  | [Adelphi University](https://find-mba.com/schools/usa/new-york/adelphi ""Adelphi University"") | [![US flag](https://find-mba.com/circle-flags/flags/1x1/us.svg)](https://find-mba.com/schools/usa/new-york) | AACSB |. Comprehensive business education. Flexible online format designed for working professionals.",,,4.37,,,0,1,2026-02-05 22:22:39,2026-02-05 22:22:39
30027,30019,Online MBA,american-university-au-kogod-school-of-business-online-mba-https-find-mba-com-schools-online-mba-programs-american-university-au-kogod-school-of-business-online-mba-american-university-au-kogod-school-of-business-online-mba-aacsb-online-mba,MBA,hybrid,25000.00,,33,24,0,1,"""[\""AACSB\""]""","""[]""","""[\""Rolling admissions\""]""",Rolling,,,,,,70,"Online MBA at |  | [American University (AU) - Kogod School of Business - Online MBA](https://find-mba.com/schools/online-mba-programs/american-university-au-kogod-school-of-business-online-mba ""American University (AU) - Kogod School of Business - Online MBA"") |  | AACSB |. Comprehensive business education. Flexible online format designed for working professionals.",,,4.68,,,0,1,2026-02-05 22:22:39,2026-02-05 22:22:39
30028,30020,Online MBA,arkansas-state-university-https-find-mba-com-schools-usa-arkansas-arkansas-state-arkansas-state-university-us-flag-https-find-mba-com-circle-flags-flags-1x1-us-svg-https-find-mba-com-schools-usa-arkansas-aacsb-online-mba,MBA,hybrid,25000.00,,44,24,0,1,"""[\""AACSB\""]""","""[]""","""[\""Rolling admissions\""]""",Rolling,,,,,,99,"Online MBA at |  | [Arkansas State University](https://find-mba.com/schools/usa/arkansas/arkansas-state ""Arkansas State University"") | [![US flag](https://find-mba.com/circle-flags/flags/1x1/us.svg)](https://find-mba.com/schools/usa/arkansas) | AACSB |. Comprehensive business education. Flexible online format designed for working professionals.",,,4.46,,,0,1,2026-02-05 22:22:39,2026-02-05 22:22:39
30029,30021,Online MBA,aston-university-aston-business-school-https-find-mba-com-schools-uk-ireland-uk-aston-aston-university-aston-business-school-gb-flag-https-find-mba-com-circle-flags-flags-1x1-gb-svg-https-find-mba-com-schools-uk-ireland-uk-aacsb-amba-equis-online-mba,MBA,hybrid,25000.00,,46,24,0,1,"""[\""AACSB\""]""","""[]""","""[\""Rolling admissions\""]""",Rolling,,,,,,95,"Online MBA at |  | [Aston University - Aston Business School](https://find-mba.com/schools/uk-ireland/uk/aston ""Aston University - Aston Business School"") | [![GB flag](https://find-mba.com/circle-flags/flags/1x1/gb.svg)](https://find-mba.com/schools/uk-ireland/uk) | AACSB, AMBA, EQUIS |. Comprehensive business education. Flexible online format designed for working professionals.",,,3.86,,,0,1,2026-02-05 22:22:39,2026-02-05 22:22:39
30030,30022,Online MBA,auburn-university-harbert-college-of-business-https-find-mba-com-schools-usa-alabama-auburn-auburn-university-harbert-college-of-business-us-flag-https-find-mba-com-circle-flags-flags-1x1-us-svg-https-find-mba-com-schools-usa-alabama-aacsb-online-mba,MBA,hybrid,25000.00,,42,24,0,1,"""[\""AACSB\""]""","""[]""","""[\""Rolling admissions\""]""",Rolling,,,,,,74,"Online MBA at |  | [Auburn University - Harbert College of Business](https://find-mba.com/schools/usa/alabama/auburn ""Auburn University - Harbert College of Business"") | [![US flag](https://find-mba.com/circle-flags/flags/1x1/us.svg)](https://find-mba.com/schools/usa/alabama) | AACSB |. Comprehensive business education. Flexible online format designed for working professionals.",,,3.80,,,0,1,2026-02-05 22:22:39,2026-02-05 22:22:39
30031,30023,Online MBA,auburn-university-at-montgomery-https-find-mba-com-schools-usa-alabama-auburn-u-montgomery-auburn-university-at-montgomery-us-flag-https-find-mba-com-circle-flags-flags-1x1-us-svg-https-find-mba-com-schools-usa-alabama-aacsb-online-mba,MBA,hybrid,25000.00,,47,24,0,1,"""[\""AACSB\""]""","""[]""","""[\""Rolling admissions\""]""",Rolling,,,,,,99,"Online MBA at |  | [Auburn University at Montgomery](https://find-mba.com/schools/usa/alabama/auburn-u-montgomery ""Auburn University at Montgomery"") | [![US flag](https://find-mba.com/circle-flags/flags/1x1/us.svg)](https://find-mba.com/schools/usa/alabama) | AACSB |. Comprehensive business education. Flexible online format designed for working professionals.",,,4.01,,,0,1,2026-02-05 22:22:39,2026-02-05 22:22:39
30032,30024,Online MBA,baylor-university-hankamer-school-of-business-https-find-mba-com-schools-usa-texas-baylor-hankamer-baylor-university-hankamer-school-of-business-us-flag-https-find-mba-com-circle-flags-flags-1x1-us-svg-https-find-mba-com-schools-usa-texas-aacsb-online-mba,MBA,hybrid,25000.00,,36,24,0,1,"""[\""AACSB\""]""","""[]""","""[\""Rolling admissions\""]""",Rolling,,,,,,83,"Online MBA at |  | [Baylor University - Hankamer School of Business](https://find-mba.com/schools/usa/texas/baylor-hankamer ""Baylor University - Hankamer School of Business"") | [![US flag](https://find-mba.com/circle-flags/flags/1x1/us.svg)](https://find-mba.com/schools/usa/texas) | AACSB |. Comprehensive business education. Flexible online format designed for working professionals.",,,3.76,,,0,1,2026-02-05 22:22:39,2026-02-05 22:22:39
30033,30025,Online MBA,bellarmine-university-https-find-mba-com-schools-usa-kentucky-bellarmine-bellarmine-university-us-flag-https-find-mba-com-circle-flags-flags-1x1-us-svg-https-find-mba-com-schools-usa-kentucky-aacsb-online-mba,MBA,hybrid,25000.00,,44,24,0,1,"""[\""AACSB\""]""","""[]""","""[\""Rolling admissions\""]""",Rolling,,,,,,79,"Online MBA at |  | [Bellarmine University](https://find-mba.com/schools/usa/kentucky/bellarmine ""Bellarmine University"") | [![US flag](https://find-mba.com/circle-flags/flags/1x1/us.svg)](https://find-mba.com/schools/usa/kentucky) | AACSB |. Comprehensive business education. Flexible online format designed for working professionals.",,,3.91,,,0,1,2026-02-05 22:22:39,2026-02-05 22:22:39
30034,30026,Online MBA,bloomsburg-university-https-find-mba-com-schools-usa-pennsylvania-bloomsburg-bloomsburg-university-us-flag-https-find-mba-com-circle-flags-flags-1x1-us-svg-https-find-mba-com-schools-usa-pennsylvania-aacsb-online-mba,MBA,hybrid,25000.00,,37,24,0,1,"""[\""AACSB\""]""","""[]""","""[\""Rolling admissions\""]""",Rolling,,,,,,80,"Online MBA at |  | [Bloomsburg University](https://find-mba.com/schools/usa/pennsylvania/bloomsburg ""Bloomsburg University"") | [![US flag](https://find-mba.com/circle-flags/flags/1x1/us.svg)](https://find-mba.com/schools/usa/pennsylvania) | AACSB |. Comprehensive business education. Flexible online format designed for working professionals.",,,4.47,,,0,1,2026-02-05 22:22:39,2026-02-05 22:22:39
30035,30027,Online MBA,boise-state-university-https-find-mba-com-schools-usa-idaho-boise-state-boise-state-university-us-flag-https-find-mba-com-circle-flags-flags-1x1-us-svg-https-find-mba-com-schools-usa-idaho-aacsb-online-mba,MBA,hybrid,25000.00,,43,24,0,1,"""[\""AACSB\""]""","""[]""","""[\""Rolling admissions\""]""",Rolling,,,,,,85,"Online MBA at |  | [Boise State University](https://find-mba.com/schools/usa/idaho/boise-state ""Boise State University"") | [![US flag](https://find-mba.com/circle-flags/flags/1x1/us.svg)](https://find-mba.com/schools/usa/idaho) | AACSB |. Comprehensive business education. Flexible online format designed for working professionals.",,,4.54,,,0,1,2026-02-05 22:22:39,2026-02-05 22:22:39
