name_raw,brand,price,slug,image_url,category,name_clean,image_score,selected,old_category,confidence,reasons
Duravit Luv half vrijstaand bad 180x95cm mat wit,Duravit,3614.88,,https://static.rorix.nl/image/product/overig/400x400/ceafc42cdcb31ece2107c90b44a8c314.jpg/duravit-luv-half-vrijstaand-bad-180x95cm-mat-wit-sw228000.jpg,Bathtub,"Duravit Luv half vrijstaand bad 180x95cm mat wit – mat wit, wit",9,True,Bathtub,50.0,Keyword match: 'bad'; Keyword match: 'half vrijstaand'; Keyword match: 'vrijstaand'; Premium brand: 'Duravit'; Brand known for 'Bathtub'
Go by Van Marcke D-Shape Design halfvrijstaand bad back to wall - 180x80cm - acryl - mat wit,Unknown,1700.99,,https://static.rorix.nl/image/product/van-marcke/400x400/d2137ee7f15de54d0515eb60d2e24d1d.jpg/go-by-van-marcke-d-shape-design-halfvrijstaand-bad-back-to-wall-180x80cm-acryl-mat-wit-sw1009239.jpg,Bathtub,"Go by Van Marcke D-Shape Design halfvrijstaand bad back to wall – mat wit, wit",9,True,Bathtub,100.0,Keyword match: 'bad'; Keyword match: 'vrijstaand'
Go by Van Marcke D-Shape Design - halfvrijstaand bad - 180x80x60cm - hoek links - acryl - mat wit,Ink,1574.0,,https://static.rorix.nl/image/product/van-marcke/400x400/5dcdc04510893a2b7e6de50f075fd802.jpg/go-by-van-marcke-d-shape-design-halfvrijstaand-bad-180x80x60cm-hoek-links-acryl-mat-wit-sw1009236.jpg,Bathtub,"Go by Van Marcke D-Shape Design – mat wit, wit",9,True,Bathtub,100.0,Keyword match: 'bad'; Keyword match: 'vrijstaand'
Go by Van Marcke D-Shape Design - halfvrijstaand bad - 180x80x60cm - hoek rechts - acryl - mat wit,Unknown,1574.99,,https://static.rorix.nl/image/product/van-marcke/400x400/b7fd7186c4744d7fc296ad01ab79af82.jpg/go-by-van-marcke-d-shape-design-halfvrijstaand-bad-180x80x60cm-hoek-rechts-acryl-mat-wit-sw1009243.jpg,Bathtub,"Go by Van Marcke D-Shape Design – mat wit, wit",9,False,Bathtub,100.0,Keyword match: 'bad'; Keyword match: 'vrijstaand'
Go by Van Marcke D-Shape Design - halfvrijstaand bad - 180x80x60cm - hoek links - acryl - glans wit,Ink,1048.99,,https://static.rorix.nl/image/product/van-marcke/400x400/8141eae67fd10fa661c5cf0800d6d36f.jpg/go-by-van-marcke-d-shape-design-halfvrijstaand-bad-180x80x60cm-hoek-links-acryl-glans-wit-sw1009238.jpg,Bathtub,Go by Van Marcke D-Shape Design – wit,9,True,Bathtub,100.0,Keyword match: 'bad'; Keyword match: 'vrijstaand'
Ideavit Solidnova half vrijstaand bad - 180x80x56cm - Solid surface - Hoek links - Mat Wit,Ink,4900.0,,https://static.rorix.nl/image/product/overig/400x400/b44f29392e94078aaaf96c426413c05c.jpg/ideavit-solidnova-half-vrijstaand-bad-180x80x56cm-solid-surface-hoek-links-mat-wit-sw857504.jpg,Bathtub,"Ideavit Solidnova half vrijstaand bad – mat wit, wit",9,True,Bathtub,100.0,Keyword match: 'bad'; Keyword match: 'half vrijstaand'; Keyword match: 'vrijstaand'
Ideavit Solidnova half vrijstaand bad - 180x80x56cm - Solid surface - Hoek rechts - Mat Wit,Unknown,4900.0,,https://static.rorix.nl/image/product/overig/400x400/8a799706f519b32639d874a50b6e0433.jpg/ideavit-solidnova-half-vrijstaand-bad-180x80x56cm-solid-surface-hoek-rechts-mat-wit-sw857503.jpg,Bathtub,"Ideavit Solidnova half vrijstaand bad – mat wit, wit",9,False,Bathtub,100.0,Keyword match: 'bad'; Keyword match: 'half vrijstaand'; Keyword match: 'vrijstaand'
Looox Bath collection hoekbad - 170x70x55cm - links - mat wit,Ink,1632.0,,https://static.rorix.nl/image/product/overig/400x400/71c602ee4f341a9d32b2423dd188cd9d.jpg/looox-bath-collection-hoekbad-170x70x55cm-links-mat-wit-sw809936.jpg,Bathtub,"Looox Bath collection hoekbad – mat wit, wit",9,True,Bathtub,100.0,Keyword match: 'bad'; Keyword match: 'hoekbad'
Looox Bath collection hoekbad - 170x70x55cm - rechts - mat wit,Unknown,1632.0,,https://static.rorix.nl/image/product/overig/400x400/b54ce13cc7b8481583cf0c1712348ff3.jpg/looox-bath-collection-hoekbad-170x70x55cm-rechts-mat-wit-sw810127.jpg,Bathtub,"Looox Bath collection hoekbad – mat wit, wit",9,False,Bathtub,100.0,Keyword match: 'bad'; Keyword match: 'hoekbad'
Looox Bath collection hoekbad - 170x70x55cm - rechts - wit glans,Unknown,1458.0,,https://static.rorix.nl/image/product/overig/400x400/b0e9c2ba774aafc31a7d3409796037ba.jpg/looox-bath-collection-hoekbad-170x70x55cm-rechts-wit-glans-sw810126.jpg,Bathtub,Looox Bath collection hoekbad – wit,9,True,Bathtub,100.0,Keyword match: 'bad'; Keyword match: 'hoekbad'
Looox Cool semi-vrijstaand ligbad - 170x80x57cm - Acryl mat wit,Unknown,1483.0,,https://static.rorix.nl/image/product/overig/400x400/f1d9ad54b68d3fd2c7c17616b6566e6c.jpg/looox-cool-semi-vrijstaand-ligbad-170x80x57cm-acryl-mat-wit-sw730663.jpg,Bathtub,"Looox Cool semi-vrijstaand ligbad – mat wit, wit",9,True,Bathtub,100.0,Keyword match: 'bad'; Keyword match: 'ligbad'; Keyword match: 'vrijstaand'
RIHO Aryl ligbad 140x90cm Hoekopstelling Links Wit glans,Riho,530.0,,https://static.rorix.nl/image/product/overig/400x400/81b884b90eb8d2b0b5152d950cdb5a57.jpg/riho-aryl-ligbad-140x90cm-hoekopstelling-links-wit-glans-310519.jpg,Bathtub,RIHO Aryl ligbad 140x90cm Hoekopstelling Links Wit glans – wit,9,True,Bathtub,70.37037037037037,Keyword match: 'bad'; Keyword match: 'ligbad'; Mid-range brand: 'Riho'; Brand known for 'Bathtub'
