name,website,certifications,type,emails,phones,address,city,state,revenue,tier
Waste Management,https://www.wm.com,"OSHA, ISO",waste_management,wmcares@wm.com,"964-9730, 927-6113, 221-5556, 888-964-9730, 305-468-5900, 866-797-9018, 514-6673, 909-4458, 221-5557, 912-927-6113, 796-9696, 305-514-6673, 468-5900, 797-9018, 963-4776, 558-1661",,,,,basic
Kimberly-Clark Professional,https://www.kcprofessional.com,"ISO, EPA",cleaning_products,,"800-678-6577, 844-462-4666, 888-436-6881, 234-1460, 1771487417, 987-7373, 800-733-4000, 733-4000, 866-987-7373, 678-6577, 436-6881, 1771487418, 462-4666, 800-234-1460, 1771487420",,,,,basic
NSF International,https://www.nsf.org,"OSHA, ISO",testing_certification,"info@nsf.org, jdmiller@nsf.org","647 1036, 176.647 1036, 734-827-7182, 734-827-6837, 456 1502, 1766015439, 769-8010, 673.898 1502, 913.5774, 418-6634, 734-769-8010, 734 769 0109, 311.456 1502, 827-7182, 1666371565, 3645609, 1766015438, 827-6837, 769 8010, 898 1502, 734.913.5774, 769 0109, 734 769 8010, 1766015457",,,,,basic
Sealed Air,https://www.sealedair.com,ISO,cleaning_products,directors@sealedair.com,"100.1920, 100.1280, 430-7000, 221-3235, 648-9093, 2226241, 980-430-7000, 800-648-9093, 980-221-3235, 9105043778",,,,,basic
Sharps Compliance,https://www.sharpsinc.com,OSHA,waste_management,"sharps@sharpsinc.com, sales@sharpsinc.com","800.772.5657, 7448842, 772.5657, 772-5657, 8007725657, 838.0508, 713-432-0300, 713.838.0508, 432.0300, 432-0300, 432-0555, 718.372.3887, 713.432.0300, 372.3887","9220 Kirby Drive, Suite 500",,,,basic
3M Health Care,https://www.3m.com/3M/en_US/healthcare/,ISO,cleaning_products,"jdoe@3m.com, janedoe@3m.com",,,,,,basic
Betco,https://www.betco.com,ISO,cleaning_products,customerservice@betco.com,"877-856-5954, 888-462-3826, 856-5954, 1020292, 1021292, 462-3826",,,,,basic
ABC Laboratories,https://www.abclabs.com,ISO,analytical_lab,,"617-2225, 222-6688, 222-3388",,,,,basic
Eurofins Scientific,https://www.eurofinsus.com,ISO,analytical_lab,"BioPharmaProductTesting@BPT.EurofinsUS.com, clinicaltrials@eurofins.com, info@eurofins.com","556 7350, 717-656-2300, 556 3888, 717 556 7350, 656-2300, 717 556 3888",,,,,basic
ALS Limited,https://www.alsglobal.com,ISO,analytical_lab,,"281-575-2290, +1 281-575-2290, 575-2290, 281 530 5656, 984-0221, 530 5656",25 King Street,,,,basic
UL Solutions,https://www.ul.com,ISO,testing_certification,"info.dk@ul.com, UL.BenchmarkInfo@ul.com, ROG.Hardlines.Customer.Service@crs.ul.com, performancelighting@ul.com, cec@UL.com, Sales.de@ul.com, sales.my@ul.com, BEN.Softlines.Customer.Service@crs.ul.com, info.ar@ul.com, info@methodpark.de, sales.th@ul.com, vs.support@ul.com, QAInfo@ul.com, sales.sg@ul.com, info.it@ul.com, sales.id@ul.com, dicsy.solano@ul.com, sales@h2-test.net, UL.TheHague@ul.com, EU.BuildingLifeSafety@ul.com, FurnitureNA@ul.com, AsiaEnquiry@ul.com, Sales.Colombia@ul.com, sales.ph@ul.com, MIS.Softlines.Customer.Service@crs.ul.com, DEWI.France@ul.com, info.br@ul.com, info.nl@ul.com, healthsciencesna@ul.com, info.pl@ul.com, sales.mx@ul.com, customerservice.anz@ul.com, SIS@ul.com, cec@UL.Com, customerservice.br@ul.com, renewables.turkey@ul.com, sales.vn@ul.com, Info.Colombia@ul.com, materialservices.eu@ul.com, UL.Renewables.IBLA@ul.com, CustomerExperienceCenter@ul.com, sales.ren.germany@ul.com, Environment@ul.com, UL.MEA@UL.com, LabelCenter.GUZ@ul.com, info-mdt@ul.com, MDR.Info@ul.com, sales.in@ul.com, cec@ul.com, sales.fr@ul.com, sales.uk@ul.com, CustomerService.BD@ul.com","872.1576, 0625556, 0775541, 734.927.5255, 0021178, 271.6200, 5549232, 114.1321731, 0625367, 8415784, 2022967840, 286.2300, 1202236, 8315068, 1834096, 8183173, 258.6580, 0974697, 202.296.7840, 409.2999, 636.8782, 519.8629, 1429726, 514.363.5941, 427.5300, 0612355, 7667466, 223.3600, 415.3355, 978.759.0048, 7196306, 852.2480, 7392318, 3102041893, 855.353.2532, 516-0021, 2647934, 264.5943, 781.821.2200, 479.286.2300, 8684957, 1931807, 1655136036, 2876422, 4221759, 3871776, 8241944, 3102042612, 7011708, 0743024, 4154229, 0227927, 121.9346559, 6526084, 928.0791, 121.3721335, 852.2276, 5984539, 8317394, 5960696, 2831303, 603 8601, 195.258.6580, 1680807546, 1224176, 0685048, 7194185, 6206656, 7728131, 5975859, 319.4000, 615.367.3887, 367.3887, 353.2532, 272.8800, 3618902, 122.5257847, 363.5941, 516-1106, 202.296.1435, 6721585, 6035118, 100-0005, 510.210.3333, 115.965.1888, 202.3016, 769.3381, 4218975, 4824367, 7568982, 780.409.2999, 615.367.4404, 8453729, 103.8192617, 479.636.8782, 822.3950, 8125000, 525.8850, 121.9324672, 9324672, 8537114, 2974703, 854-3577, 1615996519, 8183209, 7622546, 731.7255, 988 9999, 031.8125000, 8464574, 5928681, 9715049, 7454361, 6921862, 367.4404, 7520777, 1686124, 0775551, 510.319.4000, 157.8582, 1343671, 5483224, 8415926, 9346559, 259-1220, 6374954, 3779039, 1321731, 877.854.3577, 3721335, 415.3356, 656 8547918, 7622267, 8450824, 919.549.1400, 4952254, 5913555, 583.7948, 4048637, 3143093439, 1956342, 7878068, 376.4840, 888.202.3016, 755.8120, 8192617, 8547918, 978.371.2700, 6210994, 5261493, 2895723, 8500764, 1461584, 174.7011708, 6035162, 2854535, 7049963, 397.0973, 631.271.6200, 317.3262, 202.872.1576, 512.6808, 3226868, 0647405, 248.427.5300, 866.937.3852, 6489147, 616.928.0791, 422.8300, 296.7840, 1026686, 6908911, 367.1578, 289-0341, 1303686, 4816687, 371.2700, 7052256, 3819195, 8235433, 6721537, 5257847, 6607172, 581.3636, 0176737, 8152472, 7569019, 248.2378, 192.525.8850, 937.3852, 905.821.2564, 8943758, 122.5261493, 310 203 3666, 0743064, 125.631.2100, 5443377, 113.4824367, 0684997, 376.4800, 470-0217, 821.2200, 6548024, 745.8603, 745.8604, 965.1888, 854.3577, 203 3666, 4951739, 101.5928681, 549.1400, 972.422.8300, 113.2895723, 4762927, 2831336, 631.2100, 821.2564, 3227922, 210.3333, 9721221, 0625465, 4416148, 8486461, 759.0048, 296.1435, 847.272.8800, 100.6374954, 9699281, 852.2423, 7967456, 3108627198, 1354599, 927.5255, 5930569, 5580647, 8323531, 6496763, 3390163, 9229736, 3910945, 714.223.3600, 8522704, 3721945, 3800926",1040 Parsons Road SW,,,,basic
Intertek,https://www.intertek.com,ISO,testing_certification,"business.assurance@intertek.com, ba.marks@intertek.com, bpcerthelpdesk@intertek.com, info@intertek.com","800 967 5352, 967-5352, 944 2378, 852 2173, 210 635 8100, 296 1620, 967 5352, 656 0601, 753-6711, 810 1195, 635 8125, 616 656 0601, 607-753-6711, 800 810 1195, 116 296 1620, 855 944 2378, 210 635 8125, 2128109, 635 8100",,,,,basic
SGS,https://www.sgs.com,ISO,testing_certification,"weichern.foong@sgs.com, peter.takacs@sgs.com, PCA.Singapore@sgs.com, dana.justinova@sgs.com","1771487594, 201 508 3000, 508-3000, 508 3000, 1771487597, 1771487596",,,,,basic
Bureau Veritas,https://www.bureauveritas.com,ISO,testing_certification,"customersolutionswest@bureauveritas.com, infoesp@bureauveritas.com","357-7020, 282.5227, 877-462-9926, 833.282.5227, 888-357-7020, 462-9926, 291-3077, 386-7247",,,,,basic
