company_name,primary_email,all_emails,phone,address,city,state,website,type,revenue,employees,certifications,tier
Diversey,info@diversey.com,"info@diversey.com, customerservice@diversey.com",,"2325 Wauer Rd, Allentown, PA 18104",Allentown,PA,https://www.diversey.com,cleaning_products,,3000+,,basic
Sealed Air,directors@sealedair.com,directors@sealedair.com,100.1920,,,,https://www.sealedair.com,cleaning_products,,,ISO,basic
Sharps Compliance,sharps@sharpsinc.com,"sharps@sharpsinc.com, sales@sharpsinc.com",800.772.5657,"9220 Kirby Drive, Suite 500",,,https://www.sharpsinc.com,waste_management,,,OSHA,basic
Daniels Health,info@danielshealth.com,"info@danielshealth.com, customerservice@danielshealth.com",888 952 5580,"1400 American Ln, Bannockburn, IL 60015",Bannockburn,IL,https://danielshealth.com,waste_management,,500+,,basic
Republic Services,media@republicservices.com,media@republicservices.com,3385831,,,,https://www.republicservices.com,waste_management,,,,basic
Waste Management,wmcares@wm.com,wmcares@wm.com,964-9730,,,,https://www.wm.com,waste_management,,,"OSHA, ISO",basic
3M Health Care,jdoe@3m.com,"jdoe@3m.com, janedoe@3m.com",,,,,https://www.3m.com/3M/en_US/healthcare/,cleaning_products,,,ISO,basic
Betco,customerservice@betco.com,customerservice@betco.com,877-856-5954,,,,https://www.betco.com,cleaning_products,,,ISO,basic
Eurofins Scientific,BioPharmaProductTesting@BPT.EurofinsUS.com,"BioPharmaProductTesting@BPT.EurofinsUS.com, clinicaltrials@eurofins.com, info@eurofins.com",556 7350,,,,https://www.eurofinsus.com,analytical_lab,,,ISO,basic
NSF International,info@nsf.org,"info@nsf.org, jdmiller@nsf.org",647 1036,,,,https://www.nsf.org,testing_certification,,,"OSHA, ISO",basic
UL Solutions,info.dk@ul.com,"info.dk@ul.com, UL.BenchmarkInfo@ul.com, ROG.Hardlines.Customer.Service@crs.ul.com, performancelighting@ul.com, cec@UL.com, Sales.de@ul.com, sales.my@ul.com, BEN.Softlines.Customer.Service@crs.ul.com, info.ar@ul.com, info@methodpark.de, sales.th@ul.com, vs.support@ul.com, QAInfo@ul.com, sales.sg@ul.com, info.it@ul.com, sales.id@ul.com, dicsy.solano@ul.com, sales@h2-test.net, UL.TheHague@ul.com, EU.BuildingLifeSafety@ul.com, FurnitureNA@ul.com, AsiaEnquiry@ul.com, Sales.Colombia@ul.com, sales.ph@ul.com, MIS.Softlines.Customer.Service@crs.ul.com, DEWI.France@ul.com, info.br@ul.com, info.nl@ul.com, healthsciencesna@ul.com, info.pl@ul.com, sales.mx@ul.com, customerservice.anz@ul.com, SIS@ul.com, cec@UL.Com, customerservice.br@ul.com, renewables.turkey@ul.com, sales.vn@ul.com, Info.Colombia@ul.com, materialservices.eu@ul.com, UL.Renewables.IBLA@ul.com, CustomerExperienceCenter@ul.com, sales.ren.germany@ul.com, Environment@ul.com, UL.MEA@UL.com, LabelCenter.GUZ@ul.com, info-mdt@ul.com, MDR.Info@ul.com, sales.in@ul.com, cec@ul.com, sales.fr@ul.com, sales.uk@ul.com, CustomerService.BD@ul.com",872.1576,1040 Parsons Road SW,,,https://www.ul.com,testing_certification,,,ISO,basic
Intertek,business.assurance@intertek.com,"business.assurance@intertek.com, ba.marks@intertek.com, bpcerthelpdesk@intertek.com, info@intertek.com",800 967 5352,,,,https://www.intertek.com,testing_certification,,,ISO,basic
SGS,weichern.foong@sgs.com,"weichern.foong@sgs.com, peter.takacs@sgs.com, PCA.Singapore@sgs.com, dana.justinova@sgs.com",1771487594,,,,https://www.sgs.com,testing_certification,,,ISO,basic
Bureau Veritas,customersolutionswest@bureauveritas.com,"customersolutionswest@bureauveritas.com, infoesp@bureauveritas.com",357-7020,,,,https://www.bureauveritas.com,testing_certification,,,ISO,basic
Noxilico,info@noxilico.com,"info@noxilico.com, contact@noxilico.com",,"750 Rue de l'industrie, Saint-Jean-sur-Richelieu, QC J3B 6X9",Saint-Jean-sur-Richelieu,QC,https://www.noxilico.com,lab_decommissioning,,50-100,,basic
Chemistry Rx,info@chemistryrx.com,info@chemistryrx.com,267-861-0862,,,,https://www.chemistryrx.com,lab_services,,,,basic
Air Science,info@airscience.com,info@airscience.com,(239) 489-0024,,,,https://www.airscience.com,equipment_manufacturer,,,,basic
Labguru,info@biodata.com,info@biodata.com,,,,,https://www.labguru.com,software,,,,basic
Science Exchange,info@scienceexchange.com,info@scienceexchange.com,,,,,https://www.scienceexchange.com,marketplace,,,,basic
Triumvirate Environmental,info@triumvirate.com,"info@triumvirate.com, sales@triumvirate.com",888-834-9697,"101 Billerica Rd, North Billerica, MA 01862",North Billerica,MA,https://www.triumvirate.com,cleaning_service,$100M+,500-1000,,business
Veolia North America,info@veoliana.com,"info@veoliana.com, customer.service@veoliana.com",,"200 Andover St, Danvers, MA 01923",Danvers,MA,https://www.veolianorthamerica.com,cleaning_service,$10B+,10000+,,elite
Ecolab,info@ecolab.com,"info@ecolab.com, customerservice@ecolab.com",,"1 Ecolab Pl, St. Paul, MN 55102",St. Paul,MN,https://www.ecolab.com,cleaning_products,$14B+,45000+,,elite
CloroxPro,info@cloroxpro.com,"info@cloroxpro.com, professional@clorox.com",888-797-7225," PO Box 24305, Oakland, CA 94623",Oakland,CA,https://www.cloroxpro.com,cleaning_products,$7B+,9000+,,elite
Clean Harbors,info@cleanharbors.com,"info@cleanharbors.com, customerservice@cleanharbors.com",800.645.8265,"42 Pine St, Norwell, MA 02061",Norwell,MA,https://www.cleanharbors.com,cleaning_service,$4B+,10000+,,enterprise
STERIS,info@steris.com,"info@steris.com, customerservice@steris.com",440.354.2600,"5960 Heisley Rd, Mentor, OH 44060",Mentor,OH,https://www.steris.com,sterilization,$3B+,5000+,,enterprise
Stericycle,info@stericycle.com,"info@stericycle.com, customerservice@stericycle.com",,"1450 American Ln, Bannockburn, IL 60015",Bannockburn,IL,https://www.stericycle.com,waste_management,$3B+,15000+,,enterprise
