name,website,description,emails,phones,address,city,state,services
Chemistry Rx,https://www.chemistryrx.com,Lab equipment and services,info@chemistryrx.com,"267-861-0862, (855) 790-0100",,,,"Lab equipment, Glassware cleaning, Sterilization"
Avantor Services,https://avantorsciences.com,Lab services and solutions,,,,,,"Lab equipment, Cleaning validation, Calibration"
Thermo Fisher Scientific Services,https://www.thermofisher.com,Lab equipment and service,,1771485018,,,,"Equipment service, Calibration, Validation"
Agilent CrossLab,https://www.agilent.com,Lab instrument services,,1771485019,,,,"Instrument service, Calibration, Training"
Waters Corporation Services,https://www.waters.com,Chromatography system services,,,,,,"Instrument service, Preventive maintenance, Training"
Shimadzu Scientific Instruments,https://www.ssi.shimadzu.com,Analytical instrument services,,,,,,"Service, Support, Training"
PerkinElmer Services,https://www.perkinelmer.com,Lab equipment and services,,,,,,"Instrument service, Applications support, Training"
Beckman Coulter Life Sciences,https://www.beckmancoulter.com,Centrifuge and lab services,,,,,,"Service, Preventive maintenance, Training"
Bio-Rad Laboratories Services,https://www.bio-rad.com,Life science equipment service,,1771485020,,,,"Service, Support, Training"
Eppendorf Service,https://www.eppendorf.com,Lab equipment service,,,,,,"Service, Calibration, Training"
Sartorius Services,https://www.sartorius.com,Lab and bioprocess services,,,,,,"Service, Validation, Training"
Metler Toledo Service,https://www.mt.com,Lab balance and scale service,,,,,,"Calibration, Service, Training"
Cytiva,https://www.cytiva.com,Bioprocessing lab services,,,,,,"Service, Validation, Training"
Danaher,https://www.danaher.com,Lab diagnostics and services,,,,,,"Service, Support, Training"
H+H Laboratory Services,https://hhlab.com,Lab equipment service,,,,,,"Service, Repair, Calibration"
GenVault,https://www.genvault.com,Sample management services,,,,,,"Biobanking, Sample storage, Cold chain"
Brooks Life Sciences,https://www.brooks.com,Sample management and automation,,,,,,"Automation, Sample management, Storage"
Azenta Life Sciences,https://www.azenta.com,Sample management and storage,,,,,,"Biobanking, Sample storage, Cold chain"
