post_title,post_content,post_excerpt,post_status,post_type,meta_url,meta_email,meta_phone,meta_type,meta_services,meta_address,categories
VWR (Avantor),<p>Major lab supply distributor</p>,Major lab supply distributor,draft,lab_supplier,https://us.vwr.com,,,distributor,,,distributor
Fisher Scientific (Thermo Fisher),<p>Leading lab supplies and chemicals</p>,Leading lab supplies and chemicals,draft,lab_supplier,https://www.fishersci.com,,,distributor,,,distributor
Sigma-Aldrich (Merck),<p>Chemicals and lab supplies</p>,Chemicals and lab supplies,draft,lab_supplier,https://www.sigmaaldrich.com/US,,,manufacturer,,,manufacturer
Cole-Parmer,<p>Lab equipment and supplies</p>,Lab equipment and supplies,draft,lab_supplier,https://www.coleparmer.com,,,distributor,,,distributor
LabCreator,<p>Lab furniture and equipment</p>,Lab furniture and equipment,draft,lab_supplier,https://www.labcreatoor.com/,,,distributor,,,distributor
Grainger,<p>Industrial and lab supplies</p>,Industrial and lab supplies,draft,lab_supplier,https://www.grainger.com,,,distributor,,,distributor
Airgas,<p>Lab gases and supplies</p>,Lab gases and supplies,draft,lab_supplier,https://www.airgas.com,,,distributor,,,distributor
Daigger,<p>Laboratory equipment distributor</p>,Laboratory equipment distributor,draft,lab_supplier,https://www.daigger.com,,,distributor,,,distributor
BioRad,<p>Life science research products</p>,Life science research products,draft,lab_supplier,https://www.bio-rad.com,,,manufacturer,,,manufacturer
Corning,<p>Lab glassware and plasticware</p>,Lab glassware and plasticware,draft,lab_supplier,https://www.corning.com,,,manufacturer,,,manufacturer
Eppendorf,<p>Lab equipment and consumables</p>,Lab equipment and consumables,draft,lab_supplier,https://www.eppendorf.com/US-en/,,,manufacturer,,,manufacturer
Sartorius,<p>Lab and biotech equipment</p>,Lab and biotech equipment,draft,lab_supplier,https://www.sartorius.com,,,manufacturer,,,manufacturer
MilliporeSigma,<p>Lab filtration and purification</p>,Lab filtration and purification,draft,lab_supplier,https://www.sigmaaldrich.com/US/en/brands/aldrich-catalog.html,,,manufacturer,,,manufacturer
Bel-Art Products,<p>Labware and equipment</p>,Labware and equipment,draft,lab_supplier,https://www.belart.com,,,manufacturer,,,manufacturer
DWK Life Sciences,"<p>Lab glassware (Kimax, Pyrex)</p>","Lab glassware (Kimax, Pyrex)",draft,lab_supplier,https://www.dwk.com,,,manufacturer,,,manufacturer
Thermo Fisher Scientific,<p>Lab instruments and supplies</p>,Lab instruments and supplies,draft,lab_supplier,https://www.thermofisher.com,,,manufacturer,,,manufacturer
Agilent Technologies,<p>Analytical lab instruments</p>,Analytical lab instruments,draft,lab_supplier,https://www.agilent.com,,,manufacturer,,,manufacturer
Waters Corporation,<p>Chromatography equipment</p>,Chromatography equipment,draft,lab_supplier,https://www.waters.com,,,manufacturer,,,manufacturer
Shimadzu,<p>Analytical instruments</p>,Analytical instruments,draft,lab_supplier,https://www.shimadzu.com,,,manufacturer,,,manufacturer
PerkinElmer,<p>Lab instruments and reagents</p>,Lab instruments and reagents,draft,lab_supplier,https://www.perkinelmer.com,,,manufacturer,,,manufacturer
Abcam,<p>Antibodies and research reagents</p>,Antibodies and research reagents,draft,lab_supplier,https://www.abcam.com,,,manufacturer,,,manufacturer
New England Biolabs,<p>Molecular biology reagents</p>,Molecular biology reagents,draft,lab_supplier,https://www.neb.com,,,manufacturer,,,manufacturer
Promega Corporation,<p>Life science reagents</p>,Life science reagents,draft,lab_supplier,https://www.promega.com,,,manufacturer,,,manufacturer
QIAGEN,<p>Sample and assay technologies</p>,Sample and assay technologies,draft,lab_supplier,https://www.qiagen.com,,,manufacturer,,,manufacturer
Illumina,<p>Sequencing and genomics</p>,Sequencing and genomics,draft,lab_supplier,https://www.illumina.com,,,manufacturer,,,manufacturer
Beckman Coulter,<p>Centrifuges and analyzers</p>,Centrifuges and analyzers,draft,lab_supplier,https://www.beckmancoulter.com,,,manufacturer,,,manufacturer
Hamilton Company,<p>Liquid handling and lab automation</p>,Liquid handling and lab automation,draft,lab_supplier,https://www.hamiltoncompany.com,,,manufacturer,,,manufacturer
