name,url,price,category,subcategory,description,image_count,downloaded_images,scraped_at
Forzalaqua Ibiza Badkamermeubelset - 120x50x50cm - 1 lade - travertin wastafel - 2 kraangaten - steunenset - afvoerplug - smoke,https://www.sawiday.be/nl-be/p/78255577/forzalaqua-ibiza-badkamermeubelset-120x50x50cm-1-lade-travertin-wastafel-2-kraangaten-stenen-net-afvoerplug-smoke,e639,vanities,one sink,,7,7,2026-02-13T11:30:11.821605
Forzalaqua Gela 2.0 Badkamermeubelset - 120x51x69cm - 2 kraangaten - Travertin gezoet - 2 softclose lades - Massief Eiken Pure Walnut,https://www.sawiday.be/nl-be/p/78201243/forzalaqua-gela-2.0-badkamermeubelset-120x51x69cm-2-kraangaten-travertin-gezoet-2-softclose-lades-massief-eiken-pure-walnut,e204,vanities,one sink,,5,5,2026-02-13T11:30:17.906205
HR badmeubelen Infinity XXL 3D Badkamermeubelset - 120 cm - 1 keramische wasbak djazz wit - 2 kraangaten - 2 lades - mat petrol,https://www.sawiday.be/nl-be/p/77637168/hr-badmeubelen-infinity-xxl-3d-badkamermeubelset-120-cm-1-keramische-wastafel-grijs-wit-2-kraangaten-2-lades-mat-patrol,e639,vanities,one sink,,5,5,2026-02-13T11:30:22.205513
HR badmeubelen Infinity XXL 3D Badkamermeubelset - 120 cm - 1 keramische wasbak djazz wit - 2 kraangaten - 2 lades - mat zwart,https://www.sawiday.be/nl-be/p/77637161/hr-badmeubelen-infinity-xxl-3d-badkamermeubelset-120-cm-1-keramische-wastafel-grijs-wit-2-kraangaten-2-lades-mat-zwart,e639,vanities,one sink,,5,5,2026-02-13T11:30:26.044797
HR badmeubelen Infinity XXL 3D Badkamermeubelset - 120 cm - 1 keramische wasbak just wit - 2 kraangaten - 2 lades - charleston,https://www.sawiday.be/nl-be/p/77637185/hr-badmeubelen-infinity-xxl-3d-badkamermeubelset-120-cm-1-keramische-wastafel-just-wit-2-kraangaten-2-lades-charleston,e639,vanities,one sink,,5,5,2026-02-13T11:30:29.371213
MONDIAZ ALAN Badmeubelset - 120cm - onderkast Mocha - 2 lades - Vrijhangende wastafel CLOUD - midden - 1 kraangat - Talc,https://www.sawiday.be/nl-be/p/77959576/mondiaz-alan-badmeubelset-120cm-onderkast-mocha-2-lades-vrijhangende-wastafel-cloud-midden-1-kraangat-talc,e639,vanities,one sink,,4,4,2026-02-13T11:30:32.825408
Mondiaz Aivy badmeubelset - 120x45x50cm - 0 kraangaten - 1 wasbak talc Solid surface - Links - 2 lades - Zonder spiegel - Melamine Mocha,https://www.sawiday.be/nl-be/p/77667217/mondiaz-aivy-badmeubelset-120x45x50cm-0-kraangaten-1-wasbak-talc-solid-surface-links-2-lades-zonder-spiegel-melamine-mocha,e639,vanities,one sink,,10,10,2026-02-13T11:30:37.345821
MONDIAZ VICA Badkamermeubelset - 120cm - 2 lades - wasbak Cloud links - 0 kraangaten - solid surface rust,https://www.sawiday.be/nl-be/p/77169283/mondiaz-vica-120cm-badmeubel-rust-2-lades-wastafel-cloud-links-zonder-kraangat,e639,vanities,one sink,,10,10,2026-02-13T11:30:42.972608
Mondiaz Aivy badmeubelset - 120x45x50cm - 1 kraangat - 1 wasbak talc Solid surface - Links - 2 lades - Met spiegel - Melamine Mocha,https://www.sawiday.be/nl-be/p/77667358/mondiaz-aivy-badmeubelset-120x45x50cm-1-kraangat-1-wasbak-talc-solid-surface-links-2-lades-met-spiegel-melamine-mocha,e639,vanities,one sink,,9,9,2026-02-13T11:30:50.027486
Saniclass Terra Wastafelonderkast - 120cm - 2 lades - wastafel solid surface - 1 wasbakken - zonder kraangaten - afgeronde hoeken - sandwood (Licht eiken),https://www.sawiday.be/nl-be/p/78223335/saniclass-terra-wastafelonderkast-120cm-2-lades-wastafel-solid-surface-1-wasbakken-zonder-kraangaten-gerande-hoeken-sandwood-licht-eiken,e639,vanities,one sink,,10,10,2026-02-13T11:30:55.999350
Thebalux Epoque Badkamermeubelset - 120x54x41.5cm - 1 lade - 2 deuren - greeploos - wastafel Corian - midden - zonder kraangat - Fineer Blanc,https://www.sawiday.be/nl-be/p/78010509/thebalux-epoque-badkamermeubelset-120x54x41.5cm-1-lade-2-deuren-grijs-wastafel-corian-midden-zonder-kraangat-fijne-blanc,e204,vanities,one sink,,4,4,2026-02-13T11:31:03.544493
Tiger Boston Badkamermeubelset 120cm Chalet eik / Hoogglans wit met spiegel. matzwarte polybeton wastafel en chromen grepen,https://www.sawiday.be/nl-be/p/76904880/tiger-boston-badkamermeubelset-120cm-chalet-eik-hoogglans-wit-met-spiegel-mat-zwart-polybeton-wastafel-en-grepen,e204,vanities,one sink,,4,4,2026-02-13T11:31:07.118411
