id,brand,name,category,price_tier,price_low,price_high,currency,image_url,catalog_image_path,render_image_path,origin,is_active,display_order,description
1,Naber,Lumica Remote Control,lighting,mid,150,500,EUR,https://cdn.yoursite.com/bathroom/lighting/lumica-remote-control-packshot.webp,product-images/lighting/mid-range/lumica-remote-control-packshot.webp,product-images/lighting/mid-range/lumica-remote-control-packshot.webp,scraped,True,1,Naber Lumica Remote Control - High-quality lighting for modern bathrooms. Part of the mid collection.
2,Naber,Lumica Remote Control,lighting,mid,150,500,EUR,https://cdn.yoursite.com/bathroom/lighting/lumica-remote-control-lifestyle.webp,product-images/lighting/mid-range/lumica-remote-control-lifestyle.webp,product-images/lighting/mid-range/lumica-remote-control-lifestyle.webp,scraped,True,2,Naber Lumica Remote Control - High-quality lighting for modern bathrooms. Part of the mid collection.
3,Essential Line,Lighting 2,lighting,budget,50,150,EUR,https://cdn.yoursite.com/bathroom/lighting/essential-line-lighting-2.webp,product-images/lighting/budget/essential-line-lighting-2.webp,product-images/lighting/budget/essential-line-lighting-2.webp,scraped,True,3,Essential Line Lighting 2 - High-quality lighting for modern bathrooms. Part of the budget collection.
4,Essential Line,Lighting 7,lighting,budget,50,150,EUR,https://cdn.yoursite.com/bathroom/lighting/essential-line-lighting-7.webp,product-images/lighting/budget/essential-line-lighting-7.webp,product-images/lighting/budget/essential-line-lighting-7.webp,scraped,True,4,Essential Line Lighting 7 - High-quality lighting for modern bathrooms. Part of the budget collection.
5,Essential Line,Lighting 3,lighting,budget,50,150,EUR,https://cdn.yoursite.com/bathroom/lighting/essential-line-lighting-3.webp,product-images/lighting/budget/essential-line-lighting-3.webp,product-images/lighting/budget/essential-line-lighting-3.webp,scraped,True,5,Essential Line Lighting 3 - High-quality lighting for modern bathrooms. Part of the budget collection.
6,Essential Line,Lighting 6,lighting,budget,50,150,EUR,https://cdn.yoursite.com/bathroom/lighting/essential-line-lighting-6.webp,product-images/lighting/budget/essential-line-lighting-6.webp,product-images/lighting/budget/essential-line-lighting-6.webp,scraped,True,6,Essential Line Lighting 6 - High-quality lighting for modern bathrooms. Part of the budget collection.
7,Essential Line,Lighting 4,lighting,budget,50,150,EUR,https://cdn.yoursite.com/bathroom/lighting/essential-line-lighting-4.webp,product-images/lighting/budget/essential-line-lighting-4.webp,product-images/lighting/budget/essential-line-lighting-4.webp,scraped,True,7,Essential Line Lighting 4 - High-quality lighting for modern bathrooms. Part of the budget collection.
8,Essential Line,Lighting 1,lighting,budget,50,150,EUR,https://cdn.yoursite.com/bathroom/lighting/essential-line-lighting-1.webp,product-images/lighting/budget/essential-line-lighting-1.webp,product-images/lighting/budget/essential-line-lighting-1.webp,scraped,True,8,Essential Line Lighting 1 - High-quality lighting for modern bathrooms. Part of the budget collection.
9,Essential Line,Lighting 5,lighting,budget,50,150,EUR,https://cdn.yoursite.com/bathroom/lighting/essential-line-lighting-5.webp,product-images/lighting/budget/essential-line-lighting-5.webp,product-images/lighting/budget/essential-line-lighting-5.webp,scraped,True,9,Essential Line Lighting 5 - High-quality lighting for modern bathrooms. Part of the budget collection.
10,Essential Line,Toilets 1,toilets,budget,50,150,EUR,https://cdn.yoursite.com/bathroom/toilets/essential-line-toilets-1.webp,product-images/toilets/budget/essential-line-toilets-1.webp,product-images/toilets/budget/essential-line-toilets-1.webp,scraped,True,10,Essential Line Toilets 1 - High-quality toilets for modern bathrooms. Part of the budget collection.
11,Essential Line,Toilets 2,toilets,budget,50,150,EUR,https://cdn.yoursite.com/bathroom/toilets/essential-line-toilets-2.webp,product-images/toilets/budget/essential-line-toilets-2.webp,product-images/toilets/budget/essential-line-toilets-2.webp,scraped,True,11,Essential Line Toilets 2 - High-quality toilets for modern bathrooms. Part of the budget collection.
12,Duravit,Duravit Durastyle Durastyle Hochschrank 01,toilets,premium,500,5500,EUR,https://cdn.yoursite.com/bathroom/toilets/duravit-duravit-durastyle-durastyle_hochschrank_01.webp,product-images/toilets/premium/duravit-duravit-durastyle-durastyle_hochschrank_01.webp,product-images/toilets/premium/duravit-duravit-durastyle-durastyle_hochschrank_01.webp,scraped,True,12,Duravit Duravit Durastyle Durastyle Hochschrank 01 - High-quality toilets for modern bathrooms. Part of the premium collection.
13,Duravit,Duravit Vero Air Vero Air Tm 700418000000000 01 1517,toilets,premium,500,5500,EUR,https://cdn.yoursite.com/bathroom/toilets/duravit-duravit-vero_air-vero-air_tm_700418000000000_01_1517.webp,product-images/toilets/premium/duravit-duravit-vero_air-vero-air_tm_700418000000000_01_1517.webp,product-images/toilets/premium/duravit-duravit-vero_air-vero-air_tm_700418000000000_01_1517.webp,scraped,True,13,Duravit Duravit Vero Air Vero Air Tm 700418000000000 01 1517 - High-quality toilets for modern bathrooms. Part of the premium collection.
