product_id,name,brand,price_eur,category,sub_category,style_category,price_range,image_url,image_score,selected,local_images,image_count,all_image_urls
,"Duravit Luv half vrijstaand bad 180x95cm mat wit – mat wit, wit",Duravit,3614.88,Bathtub,,luxury_premium,ultra_luxury,https://static.rorix.nl/image/product/overig/400x400/ceafc42cdcb31ece2107c90b44a8c314.jpg/duravit-luv-half-vrijstaand-bad-180x95cm-mat-wit-sw228000.jpg,9,True,images/villeroy-amp-boch-loop-amp-friends-half-vrijstaand-bad---180x80cm---hoek-rechts---acryl-wit-alpin-glans/579b14db5175c.webp;images/villeroy-amp-boch-loop-amp-friends-half-vrijstaand-bad---180x80cm---hoek-rechts---acryl-wit-alpin-glans/7d2a1a0563fb75d23eec1efe59a04bcd.jpg;images/villeroy-amp-boch-loop-amp-friends-half-vrijstaand-bad---180x80cm---hoek-rechts---acryl-wit-alpin-glans/D130001001516490.jpg;images/villeroy-amp-boch-loop-amp-friends-half-vrijstaand-bad---180x80cm---hoek-rechts---acryl-wit-alpin-glans/80c3cd542816134619346a8af1a959a1.jpg;images/villeroy-amp-boch-loop-amp-friends-half-vrijstaand-bad---180x80cm---hoek-rechts---acryl-wit-alpin-glans/499e3c1bba4469306008e8d51619d450.jpg;images/villeroy-amp-boch-loop-amp-friends-half-vrijstaand-bad---180x80cm---hoek-rechts---acryl-wit-alpin-glans/10be45cbc8dbdc65f992b052ce78d3b3.jpg;images/villeroy-amp-boch-loop-amp-friends-half-vrijstaand-bad---180x80cm---hoek-rechts---acryl-wit-alpin-glans/D130001001596484.jpg;images/villeroy-amp-boch-loop-amp-friends-half-vrijstaand-bad---180x80cm---hoek-rechts---acryl-wit-alpin-glans/70e8ef702b0863d7774f495171337716.webp;images/villeroy-amp-boch-loop-amp-friends-half-vrijstaand-bad---180x80cm---hoek-rechts---acryl-wit-alpin-glans/69af48d52f6ca572425c58379acabeb7.jpg;images/villeroy-amp-boch-loop-amp-friends-half-vrijstaand-bad---180x80cm---hoek-rechts---acryl-wit-alpin-glans/5f947373e37d26b83a537736e0ae381a.jpg,10,https://static.rorix.nl/image/product/overig/300x300/579b14db5175c.webp;https://static.rorix.nl/image/product/overig/2000x2000/7d2a1a0563fb75d23eec1efe59a04bcd.jpg;https://static.rorix.nl/image/product/galvano/480x480/D130001001516490.jpg;https://static.rorix.nl/image/product/overig/2000x2000/80c3cd542816134619346a8af1a959a1.jpg;https://static.rorix.nl/image/product/overig/640x640/499e3c1bba4469306008e8d51619d450.jpg;https://static.rorix.nl/image/product/overig/210x210/10be45cbc8dbdc65f992b052ce78d3b3.jpg;https://static.rorix.nl/image/product/galvano/960x960/D130001001596484.jpg;https://static.rorix.nl/image/product/overig/480x480/70e8ef702b0863d7774f495171337716.webp;https://static.rorix.nl/image/product/overig/2000x2000/69af48d52f6ca572425c58379acabeb7.jpg;https://static.rorix.nl/image/product/overig/300x300/5f947373e37d26b83a537736e0ae381a.jpg
,"Go by Van Marcke D-Shape Design halfvrijstaand bad back to wall – mat wit, wit",Unknown,1700.99,Bathtub,,premium,premium,https://static.rorix.nl/image/product/van-marcke/400x400/d2137ee7f15de54d0515eb60d2e24d1d.jpg/go-by-van-marcke-d-shape-design-halfvrijstaand-bad-back-to-wall-180x80cm-acryl-mat-wit-sw1009239.jpg,9,True,images/go-by-van-marcke-badkamermeubelset---120x65x455cm---2-lades---greeploos---2-wasbakken-wit-mat---2-kraangaten---met-spiegel---mdf-standard-white/12b675cbb6ffc0eb421f90149733ac58.webp;images/go-by-van-marcke-badkamermeubelset---120x65x455cm---2-lades---greeploos---2-wasbakken-wit-mat---2-kraangaten---met-spiegel---mdf-standard-white/9d3e36a8e47a2cce1b5184141a004995.webp;images/go-by-van-marcke-badkamermeubelset---120x65x455cm---2-lades---greeploos---2-wasbakken-wit-mat---2-kraangaten---met-spiegel---mdf-standard-white/e961aa75b99d9a7fe697d48af642298a.webp;images/go-by-van-marcke-badkamermeubelset---120x65x455cm---2-lades---greeploos---2-wasbakken-wit-mat---2-kraangaten---met-spiegel---mdf-standard-white/ca7715a3af5eeb1ecb3a907166c07e62.webp;images/go-by-van-marcke-badkamermeubelset---120x65x455cm---2-lades---greeploos---2-wasbakken-wit-mat---2-kraangaten---met-spiegel---mdf-standard-white/5a2a4a2b342e3044cd8d0e9e032e4c26.webp;images/go-by-van-marcke-badkamermeubelset---120x65x455cm---2-lades---greeploos---2-wasbakken-wit-mat---2-kraangaten---met-spiegel---mdf-standard-white/9fac6aad1b794a8cbf9f28cb251c13ce.webp;images/go-by-van-marcke-badkamermeubelset---120x65x455cm---2-lades---greeploos---2-wasbakken-wit-mat---2-kraangaten---met-spiegel---mdf-standard-white/d05b8fd1dd92db5ba282696dc6615508.jpg,7,https://static.rorix.nl/image/product/overig/640x640/12b675cbb6ffc0eb421f90149733ac58.webp;https://static.rorix.nl/image/product/overig/300x300/9d3e36a8e47a2cce1b5184141a004995.webp;https://static.rorix.nl/image/product/overig/480x480/e961aa75b99d9a7fe697d48af642298a.webp;https://static.rorix.nl/image/product/overig/210x210/ca7715a3af5eeb1ecb3a907166c07e62.webp;https://static.rorix.nl/image/product/overig/320x320/5a2a4a2b342e3044cd8d0e9e032e4c26.webp;https://static.rorix.nl/image/product/overig/960x960/9fac6aad1b794a8cbf9f28cb251c13ce.webp;https://static.rorix.nl/image/product/overig/300x300/d05b8fd1dd92db5ba282696dc6615508.jpg
,"Go by Van Marcke D-Shape Design – mat wit, wit",Ink,1574.0,Bathtub,,premium,premium,https://static.rorix.nl/image/product/van-marcke/400x400/5dcdc04510893a2b7e6de50f075fd802.jpg/go-by-van-marcke-d-shape-design-halfvrijstaand-bad-180x80x60cm-hoek-links-acryl-mat-wit-sw1009236.jpg,9,True,images/go-by-van-marcke-badkamermeubelset---120x65x455cm---2-lades---greeploos---2-wasbakken-wit-mat---2-kraangaten---met-spiegel---mdf-standard-white/12b675cbb6ffc0eb421f90149733ac58.webp;images/go-by-van-marcke-badkamermeubelset---120x65x455cm---2-lades---greeploos---2-wasbakken-wit-mat---2-kraangaten---met-spiegel---mdf-standard-white/9d3e36a8e47a2cce1b5184141a004995.webp;images/go-by-van-marcke-badkamermeubelset---120x65x455cm---2-lades---greeploos---2-wasbakken-wit-mat---2-kraangaten---met-spiegel---mdf-standard-white/e961aa75b99d9a7fe697d48af642298a.webp;images/go-by-van-marcke-badkamermeubelset---120x65x455cm---2-lades---greeploos---2-wasbakken-wit-mat---2-kraangaten---met-spiegel---mdf-standard-white/ca7715a3af5eeb1ecb3a907166c07e62.webp;images/go-by-van-marcke-badkamermeubelset---120x65x455cm---2-lades---greeploos---2-wasbakken-wit-mat---2-kraangaten---met-spiegel---mdf-standard-white/5a2a4a2b342e3044cd8d0e9e032e4c26.webp;images/go-by-van-marcke-badkamermeubelset---120x65x455cm---2-lades---greeploos---2-wasbakken-wit-mat---2-kraangaten---met-spiegel---mdf-standard-white/9fac6aad1b794a8cbf9f28cb251c13ce.webp;images/go-by-van-marcke-badkamermeubelset---120x65x455cm---2-lades---greeploos---2-wasbakken-wit-mat---2-kraangaten---met-spiegel---mdf-standard-white/d05b8fd1dd92db5ba282696dc6615508.jpg,7,https://static.rorix.nl/image/product/overig/640x640/12b675cbb6ffc0eb421f90149733ac58.webp;https://static.rorix.nl/image/product/overig/300x300/9d3e36a8e47a2cce1b5184141a004995.webp;https://static.rorix.nl/image/product/overig/480x480/e961aa75b99d9a7fe697d48af642298a.webp;https://static.rorix.nl/image/product/overig/210x210/ca7715a3af5eeb1ecb3a907166c07e62.webp;https://static.rorix.nl/image/product/overig/320x320/5a2a4a2b342e3044cd8d0e9e032e4c26.webp;https://static.rorix.nl/image/product/overig/960x960/9fac6aad1b794a8cbf9f28cb251c13ce.webp;https://static.rorix.nl/image/product/overig/300x300/d05b8fd1dd92db5ba282696dc6615508.jpg
,Go by Van Marcke D-Shape Design – wit,Ink,1048.99,Bathtub,,modern_minimalist,mid_range,https://static.rorix.nl/image/product/van-marcke/400x400/8141eae67fd10fa661c5cf0800d6d36f.jpg/go-by-van-marcke-d-shape-design-halfvrijstaand-bad-180x80x60cm-hoek-links-acryl-glans-wit-sw1009238.jpg,9,True,images/go-by-van-marcke-badkamermeubelset---120x65x455cm---2-lades---greeploos---2-wasbakken-wit-mat---2-kraangaten---met-spiegel---mdf-standard-white/12b675cbb6ffc0eb421f90149733ac58.webp;images/go-by-van-marcke-badkamermeubelset---120x65x455cm---2-lades---greeploos---2-wasbakken-wit-mat---2-kraangaten---met-spiegel---mdf-standard-white/9d3e36a8e47a2cce1b5184141a004995.webp;images/go-by-van-marcke-badkamermeubelset---120x65x455cm---2-lades---greeploos---2-wasbakken-wit-mat---2-kraangaten---met-spiegel---mdf-standard-white/e961aa75b99d9a7fe697d48af642298a.webp;images/go-by-van-marcke-badkamermeubelset---120x65x455cm---2-lades---greeploos---2-wasbakken-wit-mat---2-kraangaten---met-spiegel---mdf-standard-white/ca7715a3af5eeb1ecb3a907166c07e62.webp;images/go-by-van-marcke-badkamermeubelset---120x65x455cm---2-lades---greeploos---2-wasbakken-wit-mat---2-kraangaten---met-spiegel---mdf-standard-white/5a2a4a2b342e3044cd8d0e9e032e4c26.webp;images/go-by-van-marcke-badkamermeubelset---120x65x455cm---2-lades---greeploos---2-wasbakken-wit-mat---2-kraangaten---met-spiegel---mdf-standard-white/9fac6aad1b794a8cbf9f28cb251c13ce.webp;images/go-by-van-marcke-badkamermeubelset---120x65x455cm---2-lades---greeploos---2-wasbakken-wit-mat---2-kraangaten---met-spiegel---mdf-standard-white/d05b8fd1dd92db5ba282696dc6615508.jpg,7,https://static.rorix.nl/image/product/overig/640x640/12b675cbb6ffc0eb421f90149733ac58.webp;https://static.rorix.nl/image/product/overig/300x300/9d3e36a8e47a2cce1b5184141a004995.webp;https://static.rorix.nl/image/product/overig/480x480/e961aa75b99d9a7fe697d48af642298a.webp;https://static.rorix.nl/image/product/overig/210x210/ca7715a3af5eeb1ecb3a907166c07e62.webp;https://static.rorix.nl/image/product/overig/320x320/5a2a4a2b342e3044cd8d0e9e032e4c26.webp;https://static.rorix.nl/image/product/overig/960x960/9fac6aad1b794a8cbf9f28cb251c13ce.webp;https://static.rorix.nl/image/product/overig/300x300/d05b8fd1dd92db5ba282696dc6615508.jpg
,"Ideavit Solidnova half vrijstaand bad – mat wit, wit",Ink,4900.0,Bathtub,,luxury_premium,ultra_luxury,https://static.rorix.nl/image/product/overig/400x400/b44f29392e94078aaaf96c426413c05c.jpg/ideavit-solidnova-half-vrijstaand-bad-180x80x56cm-solid-surface-hoek-links-mat-wit-sw857504.jpg,9,True,images/villeroy-amp-boch-loop-amp-friends-half-vrijstaand-bad---180x80cm---hoek-rechts---acryl-wit-alpin-glans/579b14db5175c.webp;images/villeroy-amp-boch-loop-amp-friends-half-vrijstaand-bad---180x80cm---hoek-rechts---acryl-wit-alpin-glans/7d2a1a0563fb75d23eec1efe59a04bcd.jpg;images/villeroy-amp-boch-loop-amp-friends-half-vrijstaand-bad---180x80cm---hoek-rechts---acryl-wit-alpin-glans/D130001001516490.jpg;images/villeroy-amp-boch-loop-amp-friends-half-vrijstaand-bad---180x80cm---hoek-rechts---acryl-wit-alpin-glans/80c3cd542816134619346a8af1a959a1.jpg;images/villeroy-amp-boch-loop-amp-friends-half-vrijstaand-bad---180x80cm---hoek-rechts---acryl-wit-alpin-glans/499e3c1bba4469306008e8d51619d450.jpg;images/villeroy-amp-boch-loop-amp-friends-half-vrijstaand-bad---180x80cm---hoek-rechts---acryl-wit-alpin-glans/10be45cbc8dbdc65f992b052ce78d3b3.jpg;images/villeroy-amp-boch-loop-amp-friends-half-vrijstaand-bad---180x80cm---hoek-rechts---acryl-wit-alpin-glans/D130001001596484.jpg;images/villeroy-amp-boch-loop-amp-friends-half-vrijstaand-bad---180x80cm---hoek-rechts---acryl-wit-alpin-glans/70e8ef702b0863d7774f495171337716.webp;images/villeroy-amp-boch-loop-amp-friends-half-vrijstaand-bad---180x80cm---hoek-rechts---acryl-wit-alpin-glans/69af48d52f6ca572425c58379acabeb7.jpg;images/villeroy-amp-boch-loop-amp-friends-half-vrijstaand-bad---180x80cm---hoek-rechts---acryl-wit-alpin-glans/5f947373e37d26b83a537736e0ae381a.jpg,10,https://static.rorix.nl/image/product/overig/300x300/579b14db5175c.webp;https://static.rorix.nl/image/product/overig/2000x2000/7d2a1a0563fb75d23eec1efe59a04bcd.jpg;https://static.rorix.nl/image/product/galvano/480x480/D130001001516490.jpg;https://static.rorix.nl/image/product/overig/2000x2000/80c3cd542816134619346a8af1a959a1.jpg;https://static.rorix.nl/image/product/overig/640x640/499e3c1bba4469306008e8d51619d450.jpg;https://static.rorix.nl/image/product/overig/210x210/10be45cbc8dbdc65f992b052ce78d3b3.jpg;https://static.rorix.nl/image/product/galvano/960x960/D130001001596484.jpg;https://static.rorix.nl/image/product/overig/480x480/70e8ef702b0863d7774f495171337716.webp;https://static.rorix.nl/image/product/overig/2000x2000/69af48d52f6ca572425c58379acabeb7.jpg;https://static.rorix.nl/image/product/overig/300x300/5f947373e37d26b83a537736e0ae381a.jpg
,"Looox Bath collection hoekbad – mat wit, wit",Ink,1632.0,Bathtub,,premium,premium,https://static.rorix.nl/image/product/overig/400x400/71c602ee4f341a9d32b2423dd188cd9d.jpg/looox-bath-collection-hoekbad-170x70x55cm-links-mat-wit-sw809936.jpg,9,True,,1,https://static.rorix.nl/image/product/overig/400x400/71c602ee4f341a9d32b2423dd188cd9d.jpg/looox-bath-collection-hoekbad-170x70x55cm-links-mat-wit-sw809936.jpg
,Looox Bath collection hoekbad – wit,Unknown,1458.0,Bathtub,,modern_minimalist,mid_range,https://static.rorix.nl/image/product/overig/400x400/b0e9c2ba774aafc31a7d3409796037ba.jpg/looox-bath-collection-hoekbad-170x70x55cm-rechts-wit-glans-sw810126.jpg,9,True,,1,https://static.rorix.nl/image/product/overig/400x400/b0e9c2ba774aafc31a7d3409796037ba.jpg/looox-bath-collection-hoekbad-170x70x55cm-rechts-wit-glans-sw810126.jpg
,"Looox Cool semi-vrijstaand ligbad – mat wit, wit",Unknown,1483.0,Bathtub,,modern_minimalist,mid_range,https://static.rorix.nl/image/product/overig/400x400/f1d9ad54b68d3fd2c7c17616b6566e6c.jpg/looox-cool-semi-vrijstaand-ligbad-170x80x57cm-acryl-mat-wit-sw730663.jpg,9,True,images/arcqua-ica-vrijstaand-ligbad-170x80cm-mat-wit/ad21292f548cbb769da0f57e018b53ad.webp;images/arcqua-ica-vrijstaand-ligbad-170x80cm-mat-wit/8a1a78f248233e42a291e6a485c867b6.jpg;images/arcqua-ica-vrijstaand-ligbad-170x80cm-mat-wit/f238e2ab90e32d4f3f1fa5e48a7455ea.jpg;images/arcqua-ica-vrijstaand-ligbad-170x80cm-mat-wit/cc3af0047bf9e14cf611a7553773d06b.jpg,4,https://static.rorix.nl/image/product/overig/300x300/ad21292f548cbb769da0f57e018b53ad.webp;https://static.rorix.nl/image/product/overig/200x200/8a1a78f248233e42a291e6a485c867b6.jpg;https://static.rorix.nl/image/product/overig/320x320/f238e2ab90e32d4f3f1fa5e48a7455ea.jpg;https://static.rorix.nl/image/product/overig/300x300/cc3af0047bf9e14cf611a7553773d06b.jpg
,RIHO Aryl ligbad 140x90cm Hoekopstelling Links Wit glans – wit,Riho,530.0,Bathtub,,modern_minimalist,mid_range,https://static.rorix.nl/image/product/overig/400x400/81b884b90eb8d2b0b5152d950cdb5a57.jpg/riho-aryl-ligbad-140x90cm-hoekopstelling-links-wit-glans-310519.jpg,9,True,images/zeza-grand-half-vrijstaand-hoekbad---links---180x80x58cm---met-afvoer---acryl---glans-wit/036b912b92ffbbe917a8173a0dd3df08.jpg;images/zeza-grand-half-vrijstaand-hoekbad---links---180x80x58cm---met-afvoer---acryl---glans-wit/6852cc0c7a3b90abf4e8e41b9ce610d9.jpg;images/zeza-grand-half-vrijstaand-hoekbad---links---180x80x58cm---met-afvoer---acryl---glans-wit/c1ff8527fb8cc131248dcca041ae347e.webp;images/zeza-grand-half-vrijstaand-hoekbad---links---180x80x58cm---met-afvoer---acryl---glans-wit/30d33578aaffa2d5a45dcf87d316639c.jpg;images/zeza-grand-half-vrijstaand-hoekbad---links---180x80x58cm---met-afvoer---acryl---glans-wit/4ef840b1551d4e24393ca8b196c6a45d.webp,5,https://static.rorix.nl/image/product/overig/480x480/036b912b92ffbbe917a8173a0dd3df08.jpg;https://static.rorix.nl/image/product/overig/2000x2000/6852cc0c7a3b90abf4e8e41b9ce610d9.jpg;https://static.rorix.nl/image/product/overig/320x320/c1ff8527fb8cc131248dcca041ae347e.webp;https://static.rorix.nl/image/product/overig/300x300/30d33578aaffa2d5a45dcf87d316639c.jpg;https://static.rorix.nl/image/product/overig/300x300/4ef840b1551d4e24393ca8b196c6a45d.webp
,RIHO Aryl ligbad 153x100cm Hoekopstelling Rechts Wit glans – wit,Riho,630.0,Bathtub,,modern_minimalist,mid_range,https://static.rorix.nl/image/product/overig/400x400/e2da650bda8a93abc23721c38b2dcadd.jpg/riho-aryl-ligbad-153x100cm-hoekopstelling-rechts-wit-glans-312037.jpg,9,True,images/villeroy-amp-boch-loop-amp-friends-half-vrijstaand-bad---180x80cm---hoek-rechts---acryl-wit-alpin-glans/579b14db5175c.webp;images/villeroy-amp-boch-loop-amp-friends-half-vrijstaand-bad---180x80cm---hoek-rechts---acryl-wit-alpin-glans/7d2a1a0563fb75d23eec1efe59a04bcd.jpg;images/villeroy-amp-boch-loop-amp-friends-half-vrijstaand-bad---180x80cm---hoek-rechts---acryl-wit-alpin-glans/D130001001516490.jpg;images/villeroy-amp-boch-loop-amp-friends-half-vrijstaand-bad---180x80cm---hoek-rechts---acryl-wit-alpin-glans/80c3cd542816134619346a8af1a959a1.jpg;images/villeroy-amp-boch-loop-amp-friends-half-vrijstaand-bad---180x80cm---hoek-rechts---acryl-wit-alpin-glans/499e3c1bba4469306008e8d51619d450.jpg;images/villeroy-amp-boch-loop-amp-friends-half-vrijstaand-bad---180x80cm---hoek-rechts---acryl-wit-alpin-glans/10be45cbc8dbdc65f992b052ce78d3b3.jpg;images/villeroy-amp-boch-loop-amp-friends-half-vrijstaand-bad---180x80cm---hoek-rechts---acryl-wit-alpin-glans/D130001001596484.jpg;images/villeroy-amp-boch-loop-amp-friends-half-vrijstaand-bad---180x80cm---hoek-rechts---acryl-wit-alpin-glans/70e8ef702b0863d7774f495171337716.webp;images/villeroy-amp-boch-loop-amp-friends-half-vrijstaand-bad---180x80cm---hoek-rechts---acryl-wit-alpin-glans/69af48d52f6ca572425c58379acabeb7.jpg;images/villeroy-amp-boch-loop-amp-friends-half-vrijstaand-bad---180x80cm---hoek-rechts---acryl-wit-alpin-glans/5f947373e37d26b83a537736e0ae381a.jpg,10,https://static.rorix.nl/image/product/overig/300x300/579b14db5175c.webp;https://static.rorix.nl/image/product/overig/2000x2000/7d2a1a0563fb75d23eec1efe59a04bcd.jpg;https://static.rorix.nl/image/product/galvano/480x480/D130001001516490.jpg;https://static.rorix.nl/image/product/overig/2000x2000/80c3cd542816134619346a8af1a959a1.jpg;https://static.rorix.nl/image/product/overig/640x640/499e3c1bba4469306008e8d51619d450.jpg;https://static.rorix.nl/image/product/overig/210x210/10be45cbc8dbdc65f992b052ce78d3b3.jpg;https://static.rorix.nl/image/product/galvano/960x960/D130001001596484.jpg;https://static.rorix.nl/image/product/overig/480x480/70e8ef702b0863d7774f495171337716.webp;https://static.rorix.nl/image/product/overig/2000x2000/69af48d52f6ca572425c58379acabeb7.jpg;https://static.rorix.nl/image/product/overig/300x300/5f947373e37d26b83a537736e0ae381a.jpg
